,City,Cloudiness,Country,Date,Humidity,latitude,longitude,Max Temp,Wind Speed,Latitude,Longitude
396,Lethem,0,GY,1551851166,65,,,79,12,3.0,-59.0
397,Pacifica,75,US,1551851165,93,,,57,25,37.0,-122.0
398,Kaffrine,8,SN,1551851166,22,,,63,9,14.0,-15.0
399,College,1,US,1551850835,72,,,26,6,64.0,-147.0
400,Garissa,0,KE,1551851166,60,,,83,4,0.0,39.0
401,Kamra,0,PK,1551850961,50,,,66,4,33.0,72.0
402,Te Anau,0,NZ,1551851167,41,,,65,13,-45.0,167.0
403,Kapit,8,MY,1551851167,68,,,87,0,2.0,112.0
404,Satara,0,IN,1551851111,46,,,80,3,17.0,74.0
405,Aurada,0,IN,1551851167,30,,,86,8,18.0,77.0
406,Iskateley,76,RU,1551851167,80,,,7,8,67.0,53.0
407,Hovd,0,NO,1551851164,78,,,21,10,63.0,10.0
408,Muroto,75,JP,1551848400,87,,,53,6,33.0,134.0
409,Tuatapere,0,NZ,1551851168,61,,,68,15,-46.0,167.0
410,Moree,0,AU,1551851153,22,,,96,9,-29.0,149.0
411,Aguas de Lindoia,8,BR,1551851045,90,,,63,2,-22.0,-46.0
412,Uvinza,92,TZ,1551851168,99,,,62,0,-5.0,30.0
413,Sawakin,0,SD,1551851168,85,,,67,4,19.0,37.0
414,Yuncheng,24,CN,1551851169,61,,,56,4,35.0,111.0
415,Ossora,88,RU,1551851169,92,,,15,8,59.0,163.0
416,Great Yarmouth,92,GB,1551851164,93,,,48,13,52.0,1.0
417,Buraydah,0,SA,1551848400,54,,,57,18,26.0,43.0
418,Adana,0,TR,1551850938,93,,,50,3,37.0,35.0
419,Lorengau,24,PG,1551851169,100,,,80,2,-2.0,147.0
420,Ankang,88,CN,1551851169,77,,,49,2,32.0,108.0
421,Lithgow,92,AU,1551851097,33,,,86,19,-33.0,150.0
422,Key West,1,US,1551851002,84,,,6,5,47.0,-96.0
423,Mae Hong Son,20,MM,1551848400,42,,,84,5,19.0,97.0
424,Jardim,12,BR,1551851170,88,,,73,5,-21.0,-56.0
425,Kandi,0,BJ,1551851170,29,,,70,8,11.0,2.0
426,Maraa,0,BR,1551851170,92,,,76,2,-1.0,-65.0
427,Roebourne,0,AU,1551851170,20,,,105,9,-20.0,117.0
428,Irbit,80,RU,1551851170,85,,,17,15,57.0,63.0
429,Deputatskiy,0,RU,1551851171,75,,,-8,2,69.0,139.0
430,Marabba,8,SD,1551851171,17,,,76,12,12.0,32.0
431,Yulara,0,AU,1551848400,18,,,96,13,-25.0,130.0
432,Lensk,88,RU,1551851171,71,,,27,11,60.0,114.0
433,Bud,0,NO,1551851165,67,,,32,12,62.0,6.0
434,Esil,64,KZ,1551851171,96,,,31,14,51.0,66.0
435,Bluefield,90,US,1551851127,67,,,24,13,37.0,-81.0
436,Trogir,0,HR,1551851103,81,,,46,3,43.0,16.0
437,Orlovskiy,88,RU,1551851172,80,,,44,13,46.0,42.0
438,Storforshei,90,NO,1551850811,84,,,10,1,66.0,14.0
439,Srednekolymsk,68,RU,1551851172,62,,,-3,2,67.0,153.0
440,Zhanaozen,0,KZ,1551851172,70,,,43,8,43.0,52.0
441,Sangar,88,RU,1551851172,75,,,2,5,63.0,127.0
442,Lincoln,92,GB,1551851120,93,,,48,20,53.0,0.0
443,Espanola,20,CA,1551850328,81,,,-6,5,46.0,-81.0
444,Baruun-Urt,12,MN,1551851173,25,,,35,15,46.0,113.0
445,Kelvington,44,CA,1551851173,76,,,3,8,52.0,-103.0
446,Kirakira,24,SB,1551851173,100,,,84,10,-10.0,161.0
447,Great Bend,1,US,1551851128,85,,,10,5,38.0,-98.0
448,Praia da Vitoria,20,PT,1551851110,76,,,53,19,38.0,-27.0
449,Tazovskiy,56,RU,1551851174,84,,,4,13,67.0,78.0
450,Santa Isabel do Rio Negro,32,BR,1551851174,92,,,77,1,0.0,-65.0
451,Stalowa Wola,75,PL,1551851168,90,,,39,16,50.0,22.0
452,San Juan,20,PH,1551850219,52,,,90,9,14.0,121.0
453,Leshukonskoye,80,RU,1551851175,77,,,12,6,64.0,45.0
454,Monroe,40,US,1551851175,78,,,16,10,41.0,-83.0
455,Paamiut,76,GL,1551851175,96,,,29,12,61.0,-49.0
456,Hebi,0,CN,1551851176,42,,,50,9,35.0,114.0
457,Sambava,36,MG,1551851176,100,,,81,2,-14.0,50.0
458,Maku,0,IR,1551847800,59,,,37,3,39.0,44.0
459,Rovaniemi,0,FI,1551849600,71,,,3,18,66.0,25.0
460,Adwa,0,ET,1551851177,37,,,67,2,14.0,38.0
461,Rio Gallegos,90,AR,1551848400,87,,,46,14,-51.0,-69.0
462,Paso de los Toros,8,UY,1551851177,87,,,70,12,-32.0,-56.0
463,Monmouth,90,GB,1551851173,93,,,50,19,51.0,-2.0
464,Adrar,0,DZ,1551848400,27,,,51,9,27.0,0.0
465,Dubti,32,ET,1551851177,59,,,73,7,11.0,41.0
466,Pangkalanbuun,76,ID,1551851177,89,,,84,4,-2.0,111.0
467,Thunder Bay,5,CA,1551851130,75,,,-10,4,48.0,-89.0
468,Carutapera,68,BR,1551851178,98,,,75,1,-1.0,-46.0
469,Chifeng,24,CN,1551851178,79,,,28,9,42.0,118.0
470,Mianyang,92,CN,1551851178,86,,,54,8,31.0,104.0
471,Axim,8,GH,1551851178,100,,,80,8,4.0,-2.0
472,Iquitos,75,PE,1551848400,94,,,77,4,-3.0,-73.0
473,Ubinskoye,76,RU,1551851178,97,,,25,8,55.0,79.0
474,Champerico,5,MX,1551847560,68,,,69,17,16.0,-93.0
475,Mecca,0,SA,1551851090,35,,,67,6,21.0,39.0
476,Brufut,8,GM,1551851179,73,,,70,15,13.0,-16.0
477,Dalvik,75,SE,1551851106,100,,,30,9,57.0,14.0
478,Imeni Poliny Osipenko,64,RU,1551851179,64,,,27,4,52.0,136.0
479,Red Bluff,90,US,1551851118,87,,,53,10,40.0,-122.0
480,Taoudenni,0,ML,1551851179,27,,,49,8,22.0,-3.0
481,Gat,0,SN,1551848400,68,,,64,21,14.0,-16.0
482,Cururupu,56,BR,1551851180,97,,,74,2,-1.0,-44.0
483,Santa Maria,92,BR,1551851181,91,,,71,4,-29.0,-53.0
484,Taksimo,36,RU,1551851181,53,,,23,1,56.0,114.0
485,Hefei,0,CN,1551848400,67,,,57,8,31.0,117.0
486,Akureyri,90,IS,1551848400,73,,,23,3,65.0,-18.0
487,Helong,92,CN,1551851181,88,,,57,4,25.0,116.0
488,Nishihara,75,JP,1551851166,66,,,60,7,35.0,139.0
489,Auki,0,NG,1551851182,42,,,64,5,12.0,6.0
490,Thinadhoo,76,MV,1551851182,100,,,82,9,0.0,72.0
491,Charlestown,20,US,1551851175,49,,,26,4,41.0,-71.0
492,Lagoa,75,PT,1551851181,93,,,60,21,37.0,-8.0
493,Netivot,0,IL,1551851183,84,,,50,3,31.0,34.0
494,Labuhan,80,ID,1551851183,91,,,76,3,-2.0,115.0
495,Belyy Yar,0,RU,1551848400,34,,,37,2,53.0,91.0
496,Kruisfontein,0,ZA,1551851183,75,,,68,6,-34.0,24.0
497,Aracati,92,BR,1551851183,98,,,72,3,-4.0,-37.0
498,Veracruz,40,VE,1551848400,74,,,80,4,7.0,-72.0
499,Accra,0,GH,1551848400,88,,,80,5,5.0,0.0
500,Senges,0,BR,1551851135,99,,,69,1,-24.0,-49.0
501,Bahia Honda,92,CU,1551851184,100,,,71,10,22.0,-83.0
502,Sault Sainte Marie,90,CA,1551850020,84,,,1,6,46.0,-84.0
503,Esna,32,RO,1551851184,72,,,39,4,45.0,27.0
504,Touros,75,BR,1551848400,94,,,77,5,-5.0,-35.0
505,Fort Nelson,5,CA,1551848400,84,,,1,4,58.0,-122.0
506,Karratha,0,AU,1551851185,20,,,105,9,-20.0,116.0
507,Koslan,80,RU,1551851185,79,,,21,8,63.0,48.0
508,Umm Lajj,12,SA,1551851185,89,,,64,7,25.0,37.0
509,Vanimo,44,PG,1551851185,100,,,82,9,-2.0,141.0
510,Ozinki,44,RU,1551851185,95,,,35,15,51.0,49.0
511,Constitucion,0,MX,1551851185,52,,,52,5,23.0,-104.0
512,Ulety,8,RU,1551851186,30,,,36,4,51.0,112.0
513,Calama,0,CL,1551848400,79,,,53,12,-22.0,-68.0
514,Tessalit,0,ML,1551851186,29,,,47,3,20.0,1.0
515,Dawson Creek,90,CA,1551848400,77,,,5,3,55.0,-120.0
516,Manzanillo,0,CU,1551851186,100,,,76,14,20.0,-77.0
517,Vuktyl,80,RU,1551851186,81,,,19,9,63.0,57.0
518,Pimentel,76,BR,1551851186,96,,,74,2,-3.0,-45.0
519,Inverell,0,AU,1551850958,31,,,96,5,-29.0,151.0
520,Saint Anthony,90,US,1551851124,86,,,30,3,43.0,-111.0
521,Kedougou,0,SN,1551851187,65,,,60,2,12.0,-12.0
522,Rawson,8,AR,1551851187,49,,,54,9,-43.0,-65.0
523,Linjiang,56,CN,1551851187,78,,,35,7,41.0,126.0
524,Cervo,0,BR,1551851187,90,,,58,2,-22.0,-46.0
525,Cabildo,0,CL,1551848400,76,,,57,4,-32.0,-71.0
526,Lujan,76,AR,1551851188,43,,,61,30,-46.0,-67.0
527,Hobyo,80,SO,1551851188,80,,,80,16,5.0,48.0
528,Binga,20,ZW,1551851188,69,,,80,5,-17.0,27.0
529,Samana,44,EC,1551851188,94,,,73,1,0.0,-76.0
530,Talnakh,76,RU,1551851188,83,,,8,16,69.0,88.0
531,Hambantota,75,LK,1551849000,83,,,84,8,6.0,81.0
532,Aklavik,5,CA,1551848400,66,,,12,6,68.0,-135.0
533,Zeya,0,RU,1551851189,47,,,29,5,53.0,127.0
534,Lebanon,1,US,1551850920,84,,,14,4,43.0,-72.0
535,Port Said,0,EG,1551851190,65,,,47,5,25.0,30.0
536,Amarante do Maranhao,32,BR,1551850916,96,,,70,2,-5.0,-46.0
537,Alexandria,1,US,1551850868,51,,,37,4,31.0,-92.0
538,Ambilobe,64,MG,1551851190,100,,,79,4,-13.0,49.0
539,Fukue,75,JP,1551851010,66,,,55,5,35.0,136.0
540,Kokkola,0,FI,1551851102,84,,,17,9,63.0,23.0
541,Codajas,24,BR,1551851190,83,,,79,5,-3.0,-62.0
542,Damavand,40,IR,1551850200,27,,,51,6,35.0,52.0
543,Balikpapan,40,ID,1551850200,52,,,93,9,-1.0,116.0
544,Verkhoyansk,0,RU,1551851191,71,,,-6,3,67.0,133.0
545,Fallon,1,US,1551848160,65,,,3,6,46.0,-105.0
546,Roquebrune-Cap-Martin,75,IT,1551851176,52,,,51,9,43.0,7.0
547,Yar-Sale,20,RU,1551851191,69,,,-1,14,66.0,70.0
548,Springdale,1,US,1551851154,67,,,23,4,36.0,-94.0
549,Falun,88,SE,1551850665,84,,,1,5,60.0,15.0
